city,state,key,lat,lng
Oakland,California,OaklandCalifornia,37.7903,-122.2165
Winston-Salem,North Carolina,Winston-SalemNorth Carolina,36.1029,-80.261
Indio,California,IndioCalifornia,33.7346,-116.2346
Durham,North Carolina,DurhamNorth Carolina,35.9795,-78.9032
Syracuse,New York,SyracuseNew York,43.0409,-76.1438
Chattanooga,Tennessee,ChattanoogaTennessee,35.0657,-85.2487
Lancaster,Pennsylvania,LancasterPennsylvania,40.042,-76.3012
Spokane,Washington,SpokaneWashington,47.6671,-117.433
Palm Coast,Florida,Palm CoastFlorida,29.5392,-81.246
Arlington,Texas,ArlingtonTexas,32.6998,-97.1251
Bonita Springs,Florida,Bonita SpringsFlorida,26.3559,-81.7861
Poughkeepsie,New York,PoughkeepsieNew York,41.6949,-73.921
Stockton,California,StocktonCalifornia,37.9766,-121.3111
Oxnard,California,OxnardCalifornia,34.1962,-119.1819
Augusta,Georgia,AugustaGeorgia,33.3645,-82.0708
Scranton,Pennsylvania,ScrantonPennsylvania,41.4044,-75.6649
Boise,Idaho,BoiseIdaho,43.6007,-116.2312
Modesto,California,ModestoCalifornia,37.6374,-121.0028
Kissimmee,Florida,KissimmeeFlorida,28.3042,-81.4164
Youngstown,Ohio,YoungstownOhio,41.0993,-80.6463
Aurora,Colorado,AuroraColorado,39.7084,-104.7274
Anaheim,California,AnaheimCalifornia,33.839,-117.8573
Lancaster,California,LancasterCalifornia,34.6934,-118.1753
Victorville,California,VictorvilleCalifornia,34.5277,-117.3536
Pensacola,Florida,PensacolaFlorida,30.4427,-87.1886
Fayetteville,Arkansas,FayettevilleArkansas,36.0713,-94.166
Corpus Christi,Texas,Corpus ChristiTexas,27.7261,-97.3755
Jackson,Mississippi,JacksonMississippi,32.3163,-90.2124
Greensboro,North Carolina,GreensboroNorth Carolina,36.0956,-79.8268
Flint,Michigan,FlintMichigan,43.0235,-83.6922
Islip,New York,IslipNew York,40.7384,-73.1887
Santa Ana,California,Santa AnaCalifornia,33.7366,-117.8819
Fort Wayne,Indiana,Fort WayneIndiana,41.0885,-85.1436
Ann Arbor,Michigan,Ann ArborMichigan,42.2755,-83.7312
Fayetteville,North Carolina,FayettevilleNorth Carolina,35.0846,-78.9776
Santa Rosa,California,Santa RosaCalifornia,38.4458,-122.7067
Lansing,Michigan,LansingMichigan,42.7142,-84.5601
Mobile,Alabama,MobileAlabama,30.6782,-88.1163
Lexington,Kentucky,LexingtonKentucky,38.0423,-84.4587
Huntsville,Alabama,HuntsvilleAlabama,34.6988,-86.6412
Santa Clarita,California,Santa ClaritaCalifornia,34.4155,-118.4992
Asheville,North Carolina,AshevilleNorth Carolina,35.5704,-82.5537
St. Paul,Minnesota,St. PaulMinnesota,44.9477,-93.104
Fort Collins,Colorado,Fort CollinsColorado,40.5475,-105.0651
Antioch,California,AntiochCalifornia,37.9789,-121.7957
Henderson,Nevada,HendersonNevada,36.0146,-115.0362
Oyster Bay,New York,Oyster BayNew York,40.7845,-73.5139
Trenton,New Jersey,TrentonNew Jersey,40.2236,-74.7641
Lakeland,Florida,LakelandFlorida,28.0557,-81.9545
Shreveport,Louisiana,ShreveportLouisiana,32.4659,-93.7959
Davenport,Iowa,DavenportIowa,41.5563,-90.6052
Springfield,Missouri,SpringfieldMissouri,37.1943,-93.2915
Plano,Texas,PlanoTexas,33.0502,-96.7487
Rockford,Illinois,RockfordIllinois,42.2598,-89.0641
Newark,New Jersey,NewarkNew Jersey,40.7245,-74.1725
Lincoln,Nebraska,LincolnNebraska,40.8088,-96.6796
Round Lake Beach,Illinois,Round Lake BeachIllinois,42.379,-88.0811
South Bend,Indiana,South BendIndiana,41.6771,-86.2692
Savannah,Georgia,SavannahGeorgia,32.0281,-81.1785
Irvine,California,IrvineCalifornia,33.6772,-117.7738
Canton,Ohio,CantonOhio,40.8076,-81.3678
Jersey City,New Jersey,Jersey CityNew Jersey,40.7161,-74.0683
Chula Vista,California,Chula VistaCalifornia,32.6281,-117.0145
Eugene,Oregon,EugeneOregon,44.0563,-123.1173
Reading,Pennsylvania,ReadingPennsylvania,40.34,-75.9267
Lafayette,Louisiana,LafayetteLouisiana,30.2084,-92.0323
St. Petersburg,Florida,St. PetersburgFlorida,27.793,-82.6652
Lubbock,Texas,LubbockTexas,33.5642,-101.8871
Peoria,Illinois,PeoriaIllinois,40.7521,-89.6155
Myrtle Beach,South Carolina,Myrtle BeachSouth Carolina,33.7096,-78.8842
Laredo,Texas,LaredoTexas,27.5617,-99.4874
Salem,Oregon,SalemOregon,44.9232,-123.0245
Columbus,Georgia,ColumbusGeorgia,32.51,-84.8771
Montgomery,Alabama,MontgomeryAlabama,32.3473,-86.2666
Chandler,Arizona,ChandlerArizona,33.2827,-111.8517
Anchorage,Alaska,AnchorageAlaska,61.1508,-149.1091
Tallahassee,Florida,TallahasseeFlorida,30.4551,-84.2527
Concord,North Carolina,ConcordNorth Carolina,35.3932,-80.6363
Scottsdale,Arizona,ScottsdaleArizona,33.6872,-111.8651
Killeen,Texas,KilleenTexas,31.0755,-97.7297
Glendale,Arizona,GlendaleArizona,33.5797,-112.2258
Wilmington,North Carolina,WilmingtonNorth Carolina,34.2101,-77.886
Winter Haven,Florida,Winter HavenFlorida,28.0118,-81.7017
Norfolk,Virginia,NorfolkVirginia,36.8945,-76.259
North Las Vegas,Nevada,North Las VegasNevada,36.288,-115.0901
Gilbert,Arizona,GilbertArizona,33.3103,-111.7463
Atlantic City,New Jersey,Atlantic CityNew Jersey,39.3797,-74.4527
Barnstable Town,Massachusetts,Barnstable TownMassachusetts,41.6722,-70.3599
Chesapeake,Virginia,ChesapeakeVirginia,36.6778,-76.3024
Irving,Texas,IrvingTexas,32.8584,-96.9702
Hialeah,Florida,HialeahFlorida,25.8696,-80.3046
Garland,Texas,GarlandTexas,32.91,-96.6305
McKinney,Texas,McKinneyTexas,33.2016,-96.6669
Fremont,California,FremontCalifornia,37.5265,-121.9852
Visalia,California,VisaliaCalifornia,36.3276,-119.3269
York,Pennsylvania,YorkPennsylvania,39.9651,-76.7315
Kennewick,Washington,KennewickWashington,46.1979,-119.1732
Evansville,Indiana,EvansvilleIndiana,37.9881,-87.5341
Paradise,Nevada,ParadiseNevada,36.0807,-115.1369
Nashua,New Hampshire,NashuaNew Hampshire,42.7491,-71.491
North Hempstead,New York,North HempsteadNew York,40.7912,-73.6688
Arlington,Virginia,ArlingtonVirginia,38.8786,-77.1011
Brownsville,Texas,BrownsvilleTexas,25.998,-97.4565
Appleton,Wisconsin,AppletonWisconsin,44.2774,-88.3894
Gulfport,Mississippi,GulfportMississippi,30.4271,-89.0703
Thousand Oaks,California,Thousand OaksCalifornia,34.1914,-118.8755
Avondale,Arizona,AvondaleArizona,33.3858,-112.3236
