city,state,key,lat,lng
Schaumburg,Illinois,SchaumburgIllinois,42.0307,-88.0838
Winchester,Virginia,WinchesterVirginia,39.1735,-78.1746
Harrisonburg,Virginia,HarrisonburgVirginia,38.4362,-78.8735
Wausau,Wisconsin,WausauWisconsin,44.9615,-89.6457
Jonesboro,Arkansas,JonesboroArkansas,35.8211,-90.6793
Jackson,Tennessee,JacksonTennessee,35.6536,-88.8353
Rancho Cordova,California,Rancho CordovaCalifornia,38.574,-121.2523
Dale City,Virginia,Dale CityVirginia,38.6473,-77.3459
Waldorf,Maryland,WaldorfMaryland,38.6085,-76.9195
Southfield,Michigan,SouthfieldMichigan,42.4765,-83.2605
Owensboro,Kentucky,OwensboroKentucky,37.7573,-87.1174
Apple Valley,California,Apple ValleyCalifornia,34.5328,-117.2104
Pasco,Washington,PascoWashington,46.2506,-119.1303
Conway,Arkansas,ConwayArkansas,35.0753,-92.4695
Lodi,California,LodiCalifornia,38.1218,-121.2933
Mansfield,Ohio,MansfieldOhio,40.7656,-82.5275
Waukesha,Wisconsin,WaukeshaWisconsin,43.0087,-88.2464
Morgantown,West Virginia,MorgantownWest Virginia,39.6379,-79.9468
Pittsburg,California,PittsburgCalifornia,38.0185,-121.897
Sumter,South Carolina,SumterSouth Carolina,33.9392,-80.393
Cleveland,Tennessee,ClevelandTennessee,35.1818,-84.8707
Ellicott City,Maryland,Ellicott CityMaryland,39.2773,-76.8344
Dothan,Alabama,DothanAlabama,31.2335,-85.4068
Redlands,California,RedlandsCalifornia,34.0511,-117.1712
Wenatchee,Washington,WenatcheeWashington,47.4338,-120.3286
Framingham,Massachusetts,FraminghamMassachusetts,42.3085,-71.4368
Cherry Hill,New Jersey,Cherry HillNew Jersey,39.9034,-74.9947
Maple Grove,Minnesota,Maple GroveMinnesota,45.1089,-93.4626
Pocatello,Idaho,PocatelloIdaho,42.8716,-112.4652
South Jordan,Utah,South JordanUtah,40.5571,-111.9783
Weston,Florida,WestonFlorida,26.1007,-80.4054
Georgetown,Texas,GeorgetownTexas,30.6668,-97.6953
Janesville,Wisconsin,JanesvilleWisconsin,42.6855,-89.0136
North Richland Hills,Texas,North Richland HillsTexas,32.8605,-97.218
St. Charles,Missouri,St. CharlesMissouri,38.7956,-90.5156
Sheboygan,Wisconsin,SheboyganWisconsin,43.7403,-87.7316
Homestead,Florida,HomesteadFlorida,25.4665,-80.4472
Bristol,Tennessee,BristolTennessee,36.5572,-82.2154
Lima,Ohio,LimaOhio,40.741,-84.1121
Walnut Creek,California,Walnut CreekCalifornia,37.9025,-122.0398
Woodbury,Minnesota,WoodburyMinnesota,44.9056,-92.923
El Paso de Robles,California,El Paso de RoblesCalifornia,35.6394,-120.656
West Bend,Wisconsin,West BendWisconsin,43.4184,-88.1823
Mount Vernon,Washington,Mount VernonWashington,48.4202,-122.3116
Hammond,Louisiana,HammondLouisiana,30.5061,-90.4563
Daphne,Alabama,DaphneAlabama,30.6286,-87.8866
Mansfield,Texas,MansfieldTexas,32.569,-97.1211
Casas Adobes,Arizona,Casas AdobesArizona,32.3423,-111.0114
Decatur,Alabama,DecaturAlabama,34.573,-86.9905
Glen Burnie,Maryland,Glen BurnieMaryland,39.1559,-76.6072
Delray Beach,Florida,Delray BeachFlorida,26.455,-80.0905
Palatine,Illinois,PalatineIllinois,42.1181,-88.043
Dubuque,Iowa,DubuqueIowa,42.5007,-90.7067
Bossier City,Louisiana,Bossier CityLouisiana,32.5227,-93.6667
Buckeye,Arizona,BuckeyeArizona,33.4314,-112.6429
Rockville,Maryland,RockvilleMaryland,39.0834,-77.1553
Broomfield,Colorado,BroomfieldColorado,39.9541,-105.0527
Victoria,Texas,VictoriaTexas,28.8285,-96.985
Yorba Linda,California,Yorba LindaCalifornia,33.889,-117.7713
Ames,Iowa,AmesIowa,42.0258,-93.6216
Daytona Beach,Florida,Daytona BeachFlorida,29.1994,-81.0982
Carbondale,Illinois,CarbondaleIllinois,37.722,-89.2238
Hanover,Pennsylvania,HanoverPennsylvania,39.8117,-76.9835
Saratoga Springs,New York,Saratoga SpringsNew York,43.0674,-73.7775
DeKalb,Illinois,DeKalbIllinois,41.9314,-88.7482
Casper,Wyoming,CasperWyoming,42.842,-106.3207
Kenner,Louisiana,KennerLouisiana,30.0109,-90.2549
Sherman,Texas,ShermanTexas,33.6266,-96.6195
Petaluma,California,PetalumaCalifornia,38.2423,-122.6267
Palo Alto,California,Palo AltoCalifornia,37.3913,-122.1467
Weirton,West Virginia,WeirtonWest Virginia,40.406,-80.5671
Bay City,Michigan,Bay CityMichigan,43.5903,-83.8886
Old Bridge,New Jersey,Old BridgeNew Jersey,40.4004,-74.3126
Eagan,Minnesota,EaganMinnesota,44.8169,-93.1638
Los Lunas,New Mexico,Los LunasNew Mexico,34.8115,-106.7803
Poinciana,Florida,PoincianaFlorida,28.1217,-81.482
Corvallis,Oregon,CorvallisOregon,44.5696,-123.2781
Rogers,Arkansas,RogersArkansas,36.3172,-94.1518
Lake Elsinore,California,Lake ElsinoreCalifornia,33.6846,-117.3344
Laguna Niguel,California,Laguna NiguelCalifornia,33.5275,-117.705
Grand Forks,North Dakota,Grand ForksNorth Dakota,47.9221,-97.0887
Middletown,New Jersey,MiddletownNew Jersey,40.3897,-74.0813
North Little Rock,Arkansas,North Little RockArkansas,34.7807,-92.2372
Alpharetta,Georgia,AlpharettaGeorgia,34.0703,-84.2738
Great Falls,Montana,Great FallsMontana,47.5022,-111.2995
Longview,Washington,LongviewWashington,46.146,-122.963
West Des Moines,Iowa,West Des MoinesIowa,41.5522,-93.7805
Shawnee,Kansas,ShawneeKansas,39.0158,-94.8076
San Clemente,California,San ClementeCalifornia,33.4498,-117.6103
Michigan City,Indiana,Michigan CityIndiana,41.7098,-86.8705
Carmichael,California,CarmichaelCalifornia,38.6337,-121.323
Jupiter,Florida,JupiterFlorida,26.9199,-80.1128
Wellington,Florida,WellingtonFlorida,26.6464,-80.2706
Rocklin,California,RocklinCalifornia,38.8075,-121.2488
Rocky Mount,North Carolina,Rocky MountNorth Carolina,35.9676,-77.8047
Fairbanks,Alaska,FairbanksAlaska,64.8353,-147.6534
Elmira,New York,ElmiraNew York,42.0938,-76.8097
Johnstown,Pennsylvania,JohnstownPennsylvania,40.3258,-78.9194
Blaine,Minnesota,BlaineMinnesota,45.1696,-93.2078
Sammamish,Washington,SammamishWashington,47.6019,-122.0419
Eden Prairie,Minnesota,Eden PrairieMinnesota,44.8488,-93.4595
Redmond,Washington,RedmondWashington,47.6762,-122.1169
Glens Falls,New York,Glens FallsNew York,43.3109,-73.6459
Parkersburg,West Virginia,ParkersburgWest Virginia,39.2624,-81.5419
Gloucester,New Jersey,GloucesterNew Jersey,39.7924,-75.0363
Tulare,California,TulareCalifornia,36.1996,-119.3401
Lakeville,Minnesota,LakevilleMinnesota,44.6776,-93.2521
Haverhill,Massachusetts,HaverhillMassachusetts,42.7838,-71.0871
Castro Valley,California,Castro ValleyCalifornia,37.7092,-122.0632
Beloit,Wisconsin,BeloitWisconsin,42.523,-89.0184
West Hartford,Connecticut,West HartfordConnecticut,41.7669,-72.7536
Pflugerville,Texas,PflugervilleTexas,30.4525,-97.602
Eastvale,California,EastvaleCalifornia,33.9617,-117.5802
Port Orange,Florida,Port OrangeFlorida,29.1084,-81.0137
Encinitas,California,EncinitasCalifornia,33.049,-117.2613
Bethesda,Maryland,BethesdaMaryland,38.9866,-77.1188
Rowlett,Texas,RowlettTexas,32.9157,-96.5488
Monessen,Pennsylvania,MonessenPennsylvania,40.1519,-79.8828
Sebring,Florida,SebringFlorida,27.477,-81.453
Greenwich,Connecticut,GreenwichConnecticut,41.0665,-73.6368
Lehi,Utah,LehiUtah,40.4137,-111.8726
Coon Rapids,Minnesota,Coon RapidsMinnesota,45.1755,-93.3095
Dundalk,Maryland,DundalkMaryland,39.2703,-76.4942
Waltham,Massachusetts,WalthamMassachusetts,42.3889,-71.2423
Brentwood,California,BrentwoodCalifornia,37.9356,-121.719
Ankeny,Iowa,AnkenyIowa,41.7284,-93.6034
San Luis Obispo,California,San Luis ObispoCalifornia,35.267,-120.6689
Springfield,Oregon,SpringfieldOregon,44.0538,-122.981
Council Bluffs,Iowa,Council BluffsIowa,41.2369,-95.8518
Castle Rock,Colorado,Castle RockColorado,39.3762,-104.8535
Hamilton,Ohio,HamiltonOhio,39.3938,-84.5652
Mankato,Minnesota,MankatoMinnesota,44.1711,-93.9773
Noblesville,Indiana,NoblesvilleIndiana,40.0356,-86.0066
Gadsden,Alabama,GadsdenAlabama,34.009,-86.0156
Fairfield,Connecticut,FairfieldConnecticut,41.1775,-73.2733
Palm Harbor,Florida,Palm HarborFlorida,28.0847,-82.7481
Moore,Oklahoma,MooreOklahoma,35.3293,-97.4757
Hamden,Connecticut,HamdenConnecticut,41.3961,-72.9215
Burnsville,Minnesota,BurnsvilleMinnesota,44.7648,-93.2795
Taylor,Michigan,TaylorMichigan,42.226,-83.2688
Doral,Florida,DoralFlorida,25.8151,-80.3565
Marietta,Georgia,MariettaGeorgia,33.9532,-84.5422
Rome,Georgia,RomeGeorgia,34.2662,-85.1862
Dublin,California,DublinCalifornia,37.7161,-121.8964
Albany,Oregon,AlbanyOregon,44.6275,-123.0966
Reston,Virginia,RestonVirginia,38.9497,-77.3461
Morristown,Tennessee,MorristownTennessee,36.2047,-83.3005
Lakewood,Washington,LakewoodWashington,47.1628,-122.5299
Bristol,Connecticut,BristolConnecticut,41.6812,-72.9407
Millcreek,Utah,MillcreekUtah,40.6892,-111.8291
Woodland,California,WoodlandCalifornia,38.6712,-121.75
Benton Harbor,Michigan,Benton HarborMichigan,42.1159,-86.4488
Meriden,Connecticut,MeridenConnecticut,41.5367,-72.7944
Chapel Hill,North Carolina,Chapel HillNorth Carolina,35.927,-79.0391
Pontiac,Michigan,PontiacMichigan,42.6493,-83.2878
Novi,Michigan,NoviMichigan,42.4786,-83.4893
Port Charlotte,Florida,Port CharlotteFlorida,26.9918,-82.114
St. Clair Shores,Michigan,St. Clair ShoresMichigan,42.4921,-82.8957
Beckley,West Virginia,BeckleyWest Virginia,37.7877,-81.184
Clay,New York,ClayNew York,43.1809,-76.1955
Sanford,Florida,SanfordFlorida,28.7893,-81.276
Midland,Michigan,MidlandMichigan,43.6239,-84.2316
Royal Oak,Michigan,Royal OakMichigan,42.5084,-83.1539
Bangor,Maine,BangorMaine,44.8322,-68.7906
Bartlett,Tennessee,BartlettTennessee,35.2337,-89.8195
San Rafael,California,San RafaelCalifornia,37.9904,-122.5222
Goldsboro,North Carolina,GoldsboroNorth Carolina,35.3777,-77.972
Bowie,Maryland,BowieMaryland,38.9574,-76.7422
Lewiston,Maine,LewistonMaine,44.0915,-70.1681
Columbus,Indiana,ColumbusIndiana,39.2094,-85.9183
Towson,Maryland,TowsonMaryland,39.3944,-76.619
Orland Park,Illinois,Orland ParkIllinois,41.6075,-87.8619
Plymouth,Massachusetts,PlymouthMassachusetts,41.8783,-70.6309
Casa Grande,Arizona,Casa GrandeArizona,32.9068,-111.7624
Staunton,Virginia,StauntonVirginia,38.1593,-79.0611
Des Plaines,Illinois,Des PlainesIllinois,42.0344,-87.9008
Manchester,Connecticut,ManchesterConnecticut,41.7753,-72.5242
Santee,California,SanteeCalifornia,32.8554,-116.9851
Spring,Texas,SpringTexas,30.0613,-95.383
Hot Springs,Arkansas,Hot SpringsArkansas,34.4902,-93.0498
Walla Walla,Washington,Walla WallaWashington,46.0669,-118.3365
Piscataway,New Jersey,PiscatawayNew Jersey,40.5467,-74.4636
Hendersonville,Tennessee,HendersonvilleTennessee,36.3063,-86.5998
Titusville,Florida,TitusvilleFlorida,28.5727,-80.8193
Greenwood,Indiana,GreenwoodIndiana,39.6019,-86.1073
Midwest City,Oklahoma,Midwest CityOklahoma,35.463,-97.3709
Manhattan,Kansas,ManhattanKansas,39.1885,-96.6047
St. Peters,Missouri,St. PetersMissouri,38.7825,-90.6061
Taunton,Massachusetts,TauntonMassachusetts,41.9036,-71.0943
East Stroudsburg,Pennsylvania,East StroudsburgPennsylvania,41.0023,-75.1779
Smyrna,Georgia,SmyrnaGeorgia,33.8633,-84.5168
Tinley Park,Illinois,Tinley ParkIllinois,41.567,-87.805
Diamond Bar,California,Diamond BarCalifornia,33.9991,-117.8161
Weymouth Town,Massachusetts,Weymouth TownMassachusetts,42.1984,-70.9466
Bradenton,Florida,BradentonFlorida,27.49,-82.574
Jackson,New Jersey,JacksonNew Jersey,40.098,-74.3579
South Hill,Washington,South HillWashington,47.1203,-122.2848
Pittsfield,Massachusetts,PittsfieldMassachusetts,42.4517,-73.2605
Richland,Washington,RichlandWashington,46.2826,-119.2937
Huntersville,North Carolina,HuntersvilleNorth Carolina,35.4057,-80.8729
Shoreline,Washington,ShorelineWashington,47.7564,-122.3426
Novato,California,NovatoCalifornia,38.092,-122.5576
Commerce City,Colorado,Commerce CityColorado,39.8643,-104.8433
Cartersville,Georgia,CartersvilleGeorgia,34.1632,-84.8007
Dearborn Heights,Michigan,Dearborn HeightsMichigan,42.3164,-83.2769
Kingston,New York,KingstonNew York,41.9295,-73.9968
Chicopee,Massachusetts,ChicopeeMassachusetts,42.1764,-72.5719
Hazleton,Pennsylvania,HazletonPennsylvania,40.9504,-75.9724
Highland,California,HighlandCalifornia,34.1113,-117.1654
Lake Havasu City,Arizona,Lake Havasu CityArizona,34.5006,-114.3113
Kettering,Ohio,KetteringOhio,39.6957,-84.1496
Euless,Texas,EulessTexas,32.8508,-97.0799
Wayne,New Jersey,WayneNew Jersey,40.9481,-74.2453
Palm Beach Gardens,Florida,Palm Beach GardensFlorida,26.8486,-80.166
Watertown,New York,WatertownNew York,43.9734,-75.9095
Grants Pass,Oregon,Grants PassOregon,42.4333,-123.3316
Blue Springs,Missouri,Blue SpringsMissouri,39.0123,-94.2722
West Haven,Connecticut,West HavenConnecticut,41.2739,-72.9672
Colton,California,ColtonCalifornia,34.0538,-117.3254
Union,New York,UnionNew York,42.1258,-76.0329
Caldwell,Idaho,CaldwellIdaho,43.6454,-116.6599
Fond du Lac,Wisconsin,Fond du LacWisconsin,43.7718,-88.4397
Arroyo Grande,California,Arroyo GrandeCalifornia,35.1242,-120.5845
Cathedral City,California,Cathedral CityCalifornia,33.8363,-116.4642
Cape Girardeau,Missouri,Cape GirardeauMissouri,37.3108,-89.5596
Delano,California,DelanoCalifornia,35.767,-119.2637
Stonecrest,Georgia,StonecrestGeorgia,33.6843,-84.1373
Twin Falls,Idaho,Twin FallsIdaho,42.5648,-114.4617
Williamsport,Pennsylvania,WilliamsportPennsylvania,41.2398,-77.0371
Eagle Pass,Texas,Eagle PassTexas,28.7125,-100.484
Normal,Illinois,NormalIllinois,40.522,-88.9877
Leesburg,Virginia,LeesburgVirginia,39.1058,-77.5544
Beaufort,South Carolina,BeaufortSouth Carolina,32.4606,-80.7245
Parker,Colorado,ParkerColorado,39.5084,-104.7755
Hacienda Heights,California,Hacienda HeightsCalifornia,33.997,-117.9728
Southaven,Mississippi,SouthavenMississippi,34.9514,-89.9787
Brunswick,Georgia,BrunswickGeorgia,31.145,-81.474
Grapevine,Texas,GrapevineTexas,32.9343,-97.0744
Bozeman,Montana,BozemanMontana,45.6828,-111.0549
Mount Prospect,Illinois,Mount ProspectIllinois,42.0641,-87.9375
Elyria,Ohio,ElyriaOhio,41.3761,-82.1063
Yucaipa,California,YucaipaCalifornia,34.0336,-117.043
DeSoto,Texas,DeSotoTexas,32.5992,-96.8633
Lenexa,Kansas,LenexaKansas,38.9609,-94.8018
Brookhaven,Georgia,BrookhavenGeorgia,33.8744,-84.3314
West Sacramento,California,West SacramentoCalifornia,38.5557,-121.5504
Parsippany-Troy Hills,New Jersey,Parsippany-Troy HillsNew Jersey,40.8601,-74.4238
Lewiston,Idaho,LewistonIdaho,46.3934,-116.9934
Bellevue,Nebraska,BellevueNebraska,41.1536,-95.9357
Grand Island,Nebraska,Grand IslandNebraska,40.9214,-98.3584
Wesley Chapel,Florida,Wesley ChapelFlorida,28.2106,-82.3238
Wheaton,Illinois,WheatonIllinois,41.8561,-88.1083
Tigard,Oregon,TigardOregon,45.4237,-122.7845
Minnetonka,Minnesota,MinnetonkaMinnesota,44.9332,-93.4617
Peabody,Massachusetts,PeabodyMassachusetts,42.5335,-70.9724
Milford city ,Connecticut,Milford city Connecticut,41.2255,-73.0625
Palm Desert,California,Palm DesertCalifornia,33.7378,-116.3695
Lompoc,California,LompocCalifornia,34.6618,-120.4714
Pinellas Park,Florida,Pinellas ParkFlorida,27.8589,-82.7076
Farmington,New Mexico,FarmingtonNew Mexico,36.7555,-108.1823
Stratford,Connecticut,StratfordConnecticut,41.207,-73.1305
Glendora,California,GlendoraCalifornia,34.1449,-117.8467
Apple Valley,Minnesota,Apple ValleyMinnesota,44.7457,-93.2006
Chambersburg,Pennsylvania,ChambersburgPennsylvania,39.9315,-77.6556
Howell,New Jersey,HowellNew Jersey,40.1819,-74.1977
Edina,Minnesota,EdinaMinnesota,44.8914,-93.3602
Levittown,Pennsylvania,LevittownPennsylvania,40.1537,-74.853
Kentwood,Michigan,KentwoodMichigan,42.8852,-85.5925
Burien,Washington,BurienWashington,47.4762,-122.3393
Sierra Vista,Arizona,Sierra VistaArizona,31.563,-110.3153
Hoffman Estates,Illinois,Hoffman EstatesIllinois,42.0639,-88.1468
Apopka,Florida,ApopkaFlorida,28.7013,-81.5303
Florissant,Missouri,FlorissantMissouri,38.7996,-90.3269
Bloomsburg,Pennsylvania,BloomsburgPennsylvania,41.0026,-76.4561
St. Cloud,Florida,St. CloudFlorida,28.2294,-81.2829
Coral Gables,Florida,Coral GablesFlorida,25.7037,-80.2715
Hinesville,Georgia,HinesvilleGeorgia,31.8247,-81.6135
Irondequoit,New York,IrondequoitNew York,43.2096,-77.5705
East Hartford,Connecticut,East HartfordConnecticut,41.7634,-72.6152
New Bern,North Carolina,New BernNorth Carolina,35.0955,-77.0723
Rowland Heights,California,Rowland HeightsCalifornia,33.9716,-117.8911
Apex,North Carolina,ApexNorth Carolina,35.7246,-78.8698
Summerville,South Carolina,SummervilleSouth Carolina,33.0016,-80.1795
Orangetown,New York,OrangetownNew York,41.0526,-73.9475
Collierville,Tennessee,ColliervilleTennessee,35.0471,-89.6988
Methuen Town,Massachusetts,Methuen TownMassachusetts,42.734,-71.1889
Catalina Foothills,Arizona,Catalina FoothillsArizona,32.3041,-110.8835
Poway,California,PowayCalifornia,32.9872,-117.0201
Smyrna,Tennessee,SmyrnaTennessee,35.9722,-86.5253
Ashburn,Virginia,AshburnVirginia,39.03,-77.4711
Minot,North Dakota,MinotNorth Dakota,48.2374,-101.278
Azusa,California,AzusaCalifornia,34.1386,-117.9124
Wylie,Texas,WylieTexas,33.0362,-96.5161
Traverse City,Michigan,Traverse CityMichigan,44.7547,-85.6035
Lacey,Washington,LaceyWashington,47.0458,-122.7934
Dunwoody,Georgia,DunwoodyGeorgia,33.9418,-84.3122
Troy,New York,TroyNew York,42.7354,-73.6751
Downers Grove,Illinois,Downers GroveIllinois,41.7949,-88.017
Bullhead City,Arizona,Bullhead CityArizona,35.1205,-114.546
Bedford,Texas,BedfordTexas,32.8464,-97.135
Wilson,North Carolina,WilsonNorth Carolina,35.7312,-77.9284
Bentonville,Arkansas,BentonvilleArkansas,36.355,-94.2299
Murray,Utah,MurrayUtah,40.6498,-111.8874
Cuyahoga Falls,Ohio,Cuyahoga FallsOhio,41.1641,-81.5207
Leander,Texas,LeanderTexas,30.5728,-97.8633
Mishawaka,Indiana,MishawakaIndiana,41.6736,-86.1669
Roswell,New Mexico,RoswellNew Mexico,33.373,-104.5294
Monroe,Michigan,MonroeMichigan,41.9154,-83.385
Severn,Maryland,SevernMaryland,39.1355,-76.6958
Cumberland,Maryland,CumberlandMaryland,39.6515,-78.7585
St. Louis Park,Minnesota,St. Louis ParkMinnesota,44.9488,-93.3649
Reedley,California,ReedleyCalifornia,36.5983,-119.4473
Pascagoula,Mississippi,PascagoulaMississippi,30.3665,-88.5507
Madison,Alabama,MadisonAlabama,34.7114,-86.7626
East Lansing,Michigan,East LansingMichigan,42.748,-84.4835
Portage,Michigan,PortageMichigan,42.2,-85.5906
Kannapolis,North Carolina,KannapolisNorth Carolina,35.4764,-80.6403
Rancho Santa Margarita,California,Rancho Santa MargaritaCalifornia,33.6317,-117.5989
Cedar Hill,Texas,Cedar HillTexas,32.5809,-96.9592
Lawrence,Indiana,LawrenceIndiana,39.8674,-85.9904
Tuckahoe,Virginia,TuckahoeVirginia,37.5878,-77.5858
East Brunswick,New Jersey,East BrunswickNew Jersey,40.4281,-74.4179
Uniontown,Pennsylvania,UniontownPennsylvania,39.8994,-79.7244
Rio Grande City,Texas,Rio Grande CityTexas,26.3808,-98.8216
Paducah,Kentucky,PaducahKentucky,37.0711,-88.6435
Cookeville,Tennessee,CookevilleTennessee,36.1484,-85.5114
Findlay,Ohio,FindlayOhio,41.0467,-83.6379
Stillwater,Oklahoma,StillwaterOklahoma,36.1315,-97.074
Danville,Illinois,DanvilleIllinois,40.1423,-87.6114
Niagara Falls,New York,Niagara FallsNew York,43.0921,-79.0147
Enid,Oklahoma,EnidOklahoma,36.4061,-97.8701
Wauwatosa,Wisconsin,WauwatosaWisconsin,43.0615,-88.0347
San Jacinto,California,San JacintoCalifornia,33.797,-116.9915
Palm Springs,California,Palm SpringsCalifornia,33.8017,-116.5382
Morehead City,North Carolina,Morehead CityNorth Carolina,34.7304,-76.7386
Bel Air South,Maryland,Bel Air SouthMaryland,39.5051,-76.3197
East Honolulu,Hawaii,East HonoluluHawaii,21.2975,-157.7211
Littleton,Colorado,LittletonColorado,39.5915,-105.0188
Draper,Utah,DraperUtah,40.4956,-111.8607
Lincoln,California,LincolnCalifornia,38.8759,-121.2916
Glenview,Illinois,GlenviewIllinois,42.0825,-87.8216
Dublin,Ohio,DublinOhio,40.1112,-83.1453
West Orange,New Jersey,West OrangeNew Jersey,40.7893,-74.2627
East Providence,Rhode Island,East ProvidenceRhode Island,41.8065,-71.3565
Chesterfield,Missouri,ChesterfieldMissouri,38.6588,-90.5803
Newark,California,NewarkCalifornia,37.5204,-122.0312
Roseville,Michigan,RosevilleMichigan,42.5074,-82.9369
Jeffersonville,Indiana,JeffersonvilleIndiana,38.3375,-85.7026
McLean,Virginia,McLeanVirginia,38.9436,-77.1943
Keller,Texas,KellerTexas,32.9337,-97.2255
Sahuarita,Arizona,SahuaritaArizona,31.9328,-110.9654
Euclid,Ohio,EuclidOhio,41.5904,-81.5188
Sandusky,Ohio,SanduskyOhio,41.4437,-82.7149
Carrollton,Georgia,CarrolltonGeorgia,33.5818,-85.0837
Danville,Virginia,DanvilleVirginia,36.5831,-79.4088
Mentor,Ohio,MentorOhio,41.6895,-81.3361
Beaumont,California,BeaumontCalifornia,33.907,-116.9762
Beavercreek,Ohio,BeavercreekOhio,39.731,-84.0624
Pine Bluff,Arkansas,Pine BluffArkansas,34.2116,-92.0178
Salina,Kansas,SalinaKansas,38.8137,-97.6143
Maricopa,Arizona,MaricopaArizona,33.0404,-112.0006
New Philadelphia,Ohio,New PhiladelphiaOhio,40.486,-81.4402
Elmhurst,Illinois,ElmhurstIllinois,41.8973,-87.9432
Perinton,New York,PerintonNew York,43.0781,-77.4283
Galveston,Texas,GalvestonTexas,29.2487,-94.891
Little Elm,Texas,Little ElmTexas,33.1856,-96.929
Leavenworth,Kansas,LeavenworthKansas,39.3233,-94.9244
Middletown,Connecticut,MiddletownConnecticut,41.5476,-72.6549
Ocoee,Florida,OcoeeFlorida,28.5787,-81.5337
West Lafayette,Indiana,West LafayetteIndiana,40.4433,-86.9238
Pearl City,Hawaii,Pearl CityHawaii,21.4031,-157.9566
Burleson,Texas,BurlesonTexas,32.517,-97.3343
Lufkin,Texas,LufkinTexas,31.3217,-94.7277
Biloxi,Mississippi,BiloxiMississippi,30.4422,-88.9512
Potomac,Maryland,PotomacMaryland,39.0141,-77.1943
Hilo,Hawaii,HiloHawaii,19.6886,-155.0864
Oroville,California,OrovilleCalifornia,39.4999,-121.5634
South Brunswick,New Jersey,South BrunswickNew Jersey,40.384,-74.5256
Fort Pierce,Florida,Fort PierceFlorida,27.4256,-80.343
Bothell,Washington,BothellWashington,47.7736,-122.2044
Evesham,New Jersey,EveshamNew Jersey,39.8605,-74.8947
Coachella,California,CoachellaCalifornia,33.6905,-116.143
West Seneca,New York,West SenecaNew York,42.8374,-78.7509
Bridgewater,New Jersey,BridgewaterNew Jersey,40.5934,-74.6076
Sayreville,New Jersey,SayrevilleNew Jersey,40.4656,-74.3237
Marion,Ohio,MarionOhio,40.5933,-83.1236
Tupelo,Mississippi,TupeloMississippi,34.2691,-88.7318
El Dorado Hills,California,El Dorado HillsCalifornia,38.675,-121.049
Cutler Bay,Florida,Cutler BayFlorida,25.5765,-80.3356
Morgan Hill,California,Morgan HillCalifornia,37.1324,-121.641
Eureka,California,EurekaCalifornia,40.7941,-124.1568
Wallingford,Connecticut,WallingfordConnecticut,41.4587,-72.8039
Manitowoc,Wisconsin,ManitowocWisconsin,44.0991,-87.6811
Quincy,Illinois,QuincyIllinois,39.9335,-91.3798
Marana,Arizona,MaranaArizona,32.4355,-111.1558
Danville,California,DanvilleCalifornia,37.8121,-121.9698
Strongsville,Ohio,StrongsvilleOhio,41.3128,-81.8313
Farmington,Missouri,FarmingtonMissouri,37.7821,-90.4288
Mount Pleasant,New York,Mount PleasantNew York,41.112,-73.8122
Selma,California,SelmaCalifornia,36.5744,-119.6156
Enfield,Connecticut,EnfieldConnecticut,41.9839,-72.5548
Attleboro,Massachusetts,AttleboroMassachusetts,41.9311,-71.295
Lake Ridge,Virginia,Lake RidgeVirginia,38.6843,-77.3059
Del Rio,Texas,Del RioTexas,29.3708,-100.88
Haltom City,Texas,Haltom CityTexas,32.8176,-97.2707
Oro Valley,Arizona,Oro ValleyArizona,32.4223,-110.9767
Pinehurst,North Carolina,PinehurstNorth Carolina,35.1922,-79.4682
Altamonte Springs,Florida,Altamonte SpringsFlorida,28.6615,-81.3953
Kingman,Arizona,KingmanArizona,35.217,-114.0105
Rockwall,Texas,RockwallTexas,32.917,-96.4377
Lancaster,Ohio,LancasterOhio,39.7249,-82.6049
Bountiful,Utah,BountifulUtah,40.8722,-111.8647
Roseburg,Oregon,RoseburgOregon,43.2232,-123.3518
Plainfield,Illinois,PlainfieldIllinois,41.6205,-88.226
Adrian,Michigan,AdrianMichigan,41.8994,-84.0446
Southington,Connecticut,SouthingtonConnecticut,41.605,-72.8802
Monroe,New Jersey,MonroeNew Jersey,40.3191,-74.4286
Lombard,Illinois,LombardIllinois,41.8741,-88.0157
Desert Hot Springs,California,Desert Hot SpringsCalifornia,33.9551,-116.543
Egg Harbor,New Jersey,Egg HarborNew Jersey,39.3787,-74.6102
Henrietta,New York,HenriettaNew York,43.0555,-77.6413
Urbandale,Iowa,UrbandaleIowa,41.639,-93.7813
Winder,Georgia,WinderGeorgia,33.9917,-83.7218
Winter Garden,Florida,Winter GardenFlorida,28.5421,-81.5966
Stevens Point,Wisconsin,Stevens PointWisconsin,44.5241,-89.5508
Kyle,Texas,KyleTexas,29.9936,-97.8858
Manchester,New Jersey,ManchesterNew Jersey,39.9651,-74.3738
Riverton,Utah,RivertonUtah,40.5176,-111.9635
Peachtree Corners,Georgia,Peachtree CornersGeorgia,33.967,-84.2319
Moorhead,Minnesota,MoorheadMinnesota,46.8674,-96.746
Linden,New Jersey,LindenNew Jersey,40.6251,-74.2381
Hutchinson,Kansas,HutchinsonKansas,38.0671,-97.9081
Clovis,New Mexico,ClovisNew Mexico,34.4376,-103.1923
Ormond Beach,Florida,Ormond BeachFlorida,29.296,-81.1003
Cortlandt,New York,CortlandtNew York,41.2553,-73.9019
